site,species,n_years,french_name
10607,STUVUL,3,Étourneau sansonnet
10607,SYLATR,3,Fauvette à tête noire
10607,TROTRO,3,Troglodyte mignon
10607,TURMER,3,Merle noir
10623,APUAPU,7,Martinet noir
10623,CERBRA,7,Grimpereau des jardins
10623,COLPAL,7,Pigeon ramier
10623,CORCOR,7,Corneille noire
10623,CUCCAN,7,Coucou gris
10623,DENMAJ,7,Pic épeiche
10623,DRYMAR,7,Pic noir
10623,EMBCIT,7,Bruant jaune
10623,ERIRUB,7,Rougegorge familier
10623,FALTIN,7,Faucon crécerelle
10623,FRICOE,7,Pinson des arbres
10623,GARGLA,7,Geai des chênes
10623,HIRRUS,7,Hirondelle rustique
10623,LUSMEG,7,Rossignol philomèle
10623,PARCAE,7,Mésange bleue
10623,PARMAJ,7,Mésange charbonnière
10623,PASDOM,7,Moineau domestique
10623,PHOOCH,7,Rougequeue noir
10623,PHYCOL,7,Pouillot véloce
10623,PICVIR,7,Pic vert
10623,PRUMOD,7,Accenteur mouchet
10623,SITEUR,7,Sittelle torchepot
10623,STRDEC,7,Tourterelle turque
10623,STRTUR,7,Tourterelle des bois
10623,STUVUL,7,Étourneau sansonnet
10623,SYLATR,7,Fauvette à tête noire
10623,TROTRO,7,Troglodyte mignon
10623,TURMER,7,Merle noir
10623,TURPHI,7,Grive musicienne
10623,TURVIS,7,Grive draine
10696,APUAPU,4,Martinet noir
10696,CERBRA,4,Grimpereau des jardins
10696,COLPAL,4,Pigeon ramier
10696,CORCOR,4,Corneille noire
10696,CUCCAN,4,Coucou gris
10696,DENMAJ,4,Pic épeiche
10696,EMBCIT,4,Bruant jaune
10696,ERIRUB,4,Rougegorge familier
10696,FALTIN,4,Faucon crécerelle
10696,FRICOE,4,Pinson des arbres
10696,GALCHL,4,Gallinule poule-d'eau
10696,GARGLA,4,Geai des chênes
10696,HIRRUS,4,Hirondelle rustique
10696,LUSMEG,4,Rossignol philomèle
10696,PARCAE,4,Mésange bleue
10696,PARMAJ,4,Mésange charbonnière
10696,PASDOM,4,Moineau domestique
10696,PHOOCH,4,Rougequeue noir
10696,PHYCOL,4,Pouillot véloce
10696,PICVIR,4,Pic vert
10696,SITEUR,4,Sittelle torchepot
10696,STRDEC,4,Tourterelle turque
10696,STRTUR,4,Tourterelle des bois
10696,STUVUL,4,Étourneau sansonnet
10696,SYLATR,4,Fauvette à tête noire
10696,TROTRO,4,Troglodyte mignon
10696,TURMER,4,Merle noir
10696,TURPHI,4,Grive musicienne
10840,ANTTRI,5,Pipit des arbres
10840,APUAPU,5,Martinet noir
10840,CERBRA,5,Grimpereau des jardins
10840,COLPAL,5,Pigeon ramier
10840,CORCOR,5,Corneille noire
10840,DENMAJ,5,Pic épeiche
