id_cell,n_samples,Area_grid_tot_Urba,ValueSPred_Urba,Area_grid_tot_For,ValueSPred_For,Area_grid_tot_CC,ValueSPred_CC,Area_grid_tot_M,ValueSPred_M,Area_grid_tot_ZH,ValueSPred_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min
85883,693,-6.169915500717462e-07,-9.734044009419477e-08,0.0,-1.0544807663257934e-09,-0.30659363653653166,0.8787299011844525,-2.2758289579248765e-07,-1.729871581157009,,,0.2259762375675439,-0.07766502607171168,-0.0776650260716815,0.47996863289572333,-0.0645836333217382,-0.19005583219456026,-0.2502933532614336,-0.25029335326129265,0.44762038443527935,-0.30438464718479763,0.0,0.0,-1.709709759054831,2.018795971381522,3.195637163525362,0.4129329416144724,-3.375325233283897,-0.6840708064281451
61997,693,,,0.0,1.4605216133188238e-07,-1.3718682436542915e-11,1.2975766647611455,,,,,-0.053990830612932784,0.022578356296871275,0.022578356296840057,0.25482258899282123,0.0032898668143876418,-0.5918299112831437,1.54361785931451,1.543617859314523,0.2548225889927325,0.45018538041771555,0.0,0.0,0.9617175740240229,-0.24345163787613694,-1.1604766581282846,3.8170996181380663,-1.0680563469585898,-1.2785646681078195
100911,693,0.040243706015412765,0.032340243049075186,0.0,3.1815857676927856e-10,-0.48175016043877544,-0.2843114253870527,-3.208665812573315e-08,-0.3826650420792514,,,0.041447267392711734,0.11496043808306965,0.11496043808315216,3.243710220549338,1.3728200711451963,-0.5414899641676664,0.11496043808334074,0.11496043808302092,-1.2532743135180398,-0.03994047975274645,-0.039894919326274945,0.2166696310775357,2.506899341412525,-0.846134551530536,0.10525846487439185,-0.30517814469380816,-1.4695980470044574,1.8116383566597234
66657,693,,,0.0,9.662450863348526e-08,1.6155757023764525,4.164148046970563,0.11094744771832832,0.11020436445326434,,,-0.6809383048087897,2.1737084548488723,2.173708454847444,-0.93917984897729,-3.441327466739408,1.0507421278829923,0.31136241882183846,0.3113624188213554,-0.9391798489772488,-1.531693695823036,0.0,0.0,3.335642409806706,-3.724792725652535,-0.23935268805524637,0.822074354728537,-0.6285039033750667,-1.6243180410057798
169686,690,0.056050268477558396,-0.058010723253871965,0.0,0.0,0.09180987802115272,0.0012489604496863811,,,,,-0.9997238611389374,-0.062121076091581975,-0.062121076091638326,1.8882785408400926,0.03397126959604244,-0.472005973638587,0.028966104559301573,0.028966104559144442,0.5969665307676653,-0.1924716497371763,1.145603842491869,-1.7279892972420468,-0.43212601000365813,-0.028632534812396738,-2.157211244189814,0.54487492419902,0.20835174231413206,1.5270140927453593
118320,684,,,0.0,4.335956234985091e-10,-1.3295615868544155,-0.6988782958975707,-1.4269705443209264e-07,6.435787317353408e-08,,,-0.5111625701278328,-0.058400125862822595,-0.058400125862773856,0.6955180689048337,-0.7396993781846225,-0.5123919499903454,-0.053331784508890416,-0.05333178450887071,0.6955180689048029,-0.7667141049227563,0.0,0.0,-2.1692522430964467,-0.4970905879841546,-0.7926784678606695,-0.4028585327923101,1.3893694426203287,0.0
85441,684,,,0.0,0.8360699672558497,-1.1391091141636527,0.08163068442379971,0.4000642879877953,0.1388891788684574,,,-0.28681432133783324,-0.41431473352848747,-0.41431473352852843,0.4875760756675534,0.27187720351812295,-2.556320832965762,-0.41431473352838205,-0.414314733528431,0.054149711335075304,-0.41470892027580863,-0.16382801269489583,-0.042445215224820976,-0.34232734021442457,-1.9695833567603462,1.4604683473068163,-0.948106722296653,-0.545095455015935,1.0693627762715288
138654,680,-2.425390179896091e-08,-5.529948693829025e-08,0.0,0.0,-0.5456050894760612,1.808250356076642,-3.834904523012763,-0.865232185777319,,,-1.0947326037307024,-5.357823912767695,-5.357823912767687,-1.1246947069780755,-1.3134415835082016,1.7914201995309704,1.6518926617228886,1.651892661722881,-0.7306857806062823,2.361283675690539,0.0,0.0,1.5635797156484537,-2.9302054130051554,1.071522968659497,-1.9251738578178093,-1.8466001958389566,3.0342018149736636
117991,680,-0.6899791341244741,0.527422777324251,0.0,0.0,1.0616278183616492,1.28682748579009,0.02846327231054094,-0.021342068609540854,,,-0.1779578804488838,1.1676156628123346,1.167615662812338,-1.2549106979018139,-0.938763006584819,0.41868162604177334,1.4483886156903352,1.448388615690338,-1.2549106979018443,-0.7687263580204413,-0.908752882668699,2.2784322162663173,2.2496951605450186,0.7131377086111788,5.6603687239379115,2.428125311364535,-0.6683693050466851,-1.8199984524968245
109717,680,,,0.0,-9.529888408688014e-12,0.0466334403489152,0.6123274958286642,-2.384932450004437e-07,-0.08980406272123569,,,-0.3047880066066982,0.5182436526091458,0.5182436526091911,0.9133989743020949,-1.0180139624391016,-0.6881287075679212,0.24288553718255987,0.24288553718257924,0.913398974302107,-1.685794316299383,0.0,0.0,-1.828421732391671,0.5496361468877039,-3.3012473361471932,4.174375665970636,-1.019725846663492,0.0
144597,680,,,0.0,0.0,1.434226361295757,0.4015928466846792,-3.0152782295812495e-08,-3.2746945056848233e-09,,,-0.7689507145698938,0.43263122624706474,0.4326312262470409,-0.47474024089985783,-0.1987550200066369,-1.0331810811493336,1.7437470613966615,1.7437470613966766,-0.4747402408998197,-0.1392957991917281,0.0,0.0,-0.22866486966093214,0.0,0.8270491208674202,1.6651272992613984,0.9942993284097115,-0.5221749440480731
156911,680,1.1825663015619055,4.563835094041541,0.0,0.0,-0.008719135185019326,-2.513527060323304,,,,,0.24061366172120366,1.3189340681187767,1.3189340681188624,-0.5034815637803985,-0.020898758772174734,-3.3546535078705144,0.7522207894082903,0.7522207894080746,1.7368562216125718,-0.662498267174411,0.19709469597685628,0.1970946959768611,0.7834686655829975,2.5466617803010037,4.092623082214132,0.047712440011376936,0.2344899088056058,-0.5514380350384889
146775,680,0.11703082957944003,1.9029095833247378,0.0,0.0,0.02322093260062579,-2.548546657131512,,,,,-2.3996105979185347,-0.7994173894761122,-0.7994173894760337,0.05979754341897056,-1.1451179011186996,3.35042280064129,-0.5692675995436393,-0.5692675995436148,1.0202556076127434,1.1299512563937155,0.0,0.0,-2.9205478106763514,-0.3517760951995143,-1.9925716467283299,-1.3815136720162042,-1.4943814184759006,-2.8898372156221304
