,ValueSPred_Urba,ValueSPred_For,ValueSPred_CC,ValueSPred_M,ValueSPred_ZH,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_mean,ValueSPred_Urba_year_plus_1,ValueSPred_For_year_plus_1,ValueSPred_CC_year_plus_1,ValueSPred_M_year_plus_1,ValueSPred_ZH_year_plus_1,mean_concentration_air_grid_sum_year_plus_1,mean_tii_grid_sum_year_plus_1,mean_tii_scale_grid_sum_year_plus_1,mean_concentration_water_grid_sum_year_plus_1,SurfBio_cell_year_plus_1,nb_exp_cell_year_plus_1,Long_route_year_plus_1,nb_roads_year_plus_1,Lum_mean_year_plus_1,cluster
PARCAE,0.776187964981419,11.061711818711402,7.205247024342862,6.004204798687494,-0.3772449870605956,1.778446794974094,-2.3517279593906477,-2.351727959390385,1.3100527644132993,0.9728617704563854,0.08604642182995012,1.4928121090873483,-5.04102527640801,0.8545918786964275,-0.828892772056193,-11.388633033358527,-9.318334356370782,-4.98556358438629,-2.3579766125698285,4.689983853261625,-3.446140272803373,-3.4461402728031842,3.0909967677039867,1.4641948770524404,0.03454056073733209,3.245235346572998,-3.331962750539452,-0.1719208542417171,0
PARMAJ,1.0583733578702084,14.002925399672645,13.90352083644293,12.896426692725381,-3.186938965375549,-0.5681017433822215,-3.39845707313657,-3.3984570731369446,4.684167969191209,-3.9283273161552708,1.5974476311432748,6.456250400746142,-10.552524609800926,1.9624772242144883,-1.5511680158729728,-12.717137445551755,-17.849437176068335,-10.344619975584198,-4.593703137692523,2.2022938426528946,-2.539987782943876,-2.539987782944082,3.94995763383704,0.3859179353562366,6.960113176896535,5.2696950647616685,-4.388627933283046,0.5373889301312708,0
PASDOM,9.254093439958073,8.762657941963125,-35.326151061502905,8.532593410393291,-1.3183671985250238,-0.09190191303682763,-2.210213498153236,-2.2102134981535606,-1.8329819150867264,-0.7320287652087448,-8.432640141445239,17.2976301913809,-13.069833869614392,6.055666505246707,2.6758585712640577,-20.481846183144953,34.49503852779856,-0.04774749126191762,1.7073956458603143,-0.3255738504455336,0.23277112571783212,0.2327711257171386,-0.1665347024868004,3.590125564156229,-3.557767415615835,17.02388197645587,-6.654183913394533,-1.851663951343511,0
PHOOCH,1.2107604640546155,2.205314612515948,-1.1091227170267983,2.3646069546285426,-1.3431749723525785,-0.7991756643874166,-0.45167884723306045,-0.4516788472331215,0.19751540635615994,-2.171414792315473,1.493985547153407,4.423737855021165,-4.684125013837167,-0.1494637466271847,-1.4868875848984315,-3.324771272846727,-0.44368343484457606,-1.083875118906785,-0.9496851882497863,-1.5670644022135456,0.02109560344656485,0.021095603446477915,0.36419103497086874,1.0142944949279562,3.575772054310831,4.079104996776187,-1.746017355303139,1.0784238848680379,1
PHYCOL,-2.268823515301623,17.906060763131055,15.093620975577016,0.4719576757913593,0.30218570885210577,2.1891682518904316,-2.694882981530598,-2.6948829815297346,1.9529935506357707,3.5262867600945524,0.15514725056972475,-0.9715191114119254,-2.9471384614833562,-0.3130239897658055,-0.6569113596489224,-15.328701718878117,-16.22129614310415,-1.3565957940890785,-1.0648210846737767,2.31965894365233,-0.6079504945713283,-0.6079504945717121,1.4978542539604627,-2.8257722619378876,-4.666968016945308,-0.4162247137136297,-2.6097908290170917,-1.3401507836435718,1
PICVIR,0.7816880064178536,7.4036805626042765,-2.7273264377283564,0.7988152276843151,-0.2155627356784112,-1.038142730326034,-0.16560195610125839,-0.16560195610131645,0.8952333695762285,-2.158512783947269,2.657491965574276,1.7589475352410728,-2.8932305066156867,0.4336554235930086,-2.2435764229122954,-8.80392559677235,1.5628433164123872,-0.43338527768897056,-0.7644125016849748,-0.36239315906801334,0.2783248642771275,0.2783248642770216,0.6153567037716537,-0.5734019215831158,3.4919345445381196,1.73201670098248,-1.0684335773622315,0.47772591877500503,1
STRDEC,6.786756831386181,6.8258519014364945,-7.399950078135897,-1.3249089352187349,-2.3719105439295993,-1.935243603285282,0.6715556896576227,0.6715556896576554,0.3666434595936907,0.6652034313347229,3.0791170107996844,3.40270774490227,-4.372351583370368,0.19245601208155347,-3.676575874910608,-12.239672910318472,6.323408124539686,2.1168623195018257,-0.4283121724006014,-0.863180839406616,1.6547357373795804,1.6547357373796097,-0.9913974260097222,-3.3940225133613335,3.5978300042026174,2.587989327180635,-2.4917780354348356,0.8435986463077001,1
STRTUR,1.1013805459069583,0.5474667467220353,-12.653790794795889,-1.1436302985661222,0.5646279325526158,1.3230510598838472,0.15279190326443703,0.15279190326424616,-1.5233407240916395,0.2955990365450385,-2.5994190273611957,-2.4826092429300903,1.0665945516828235,-0.5110731663958447,-1.242425136127482,-1.4072000040869526,12.580556061005367,1.128661614292859,0.48553435954571744,-0.2387483318292163,0.36239866689305356,0.36239866689315003,-2.518155313687786,1.1920680125863317,-3.4827910576123715,-0.835656339617083,-1.9313272169051876,-1.4166189339485984,1
STUVUL,3.8459874598707735,30.578338607631288,-31.6082523579021,4.2241814673696645,-2.0922760780977057,7.175099823137674,0.027008100061302928,0.02700810006216312,0.026580365051557104,-0.9801959301534733,0.6617748080133097,3.7696448893805496,-3.4544902725292137,3.3131980162520605,-2.916688566271057,-40.65368202672003,27.297435051380905,1.4236711356321687,-1.6076957874407656,4.335281184071889,0.28346657229387734,0.283466572295074,4.672368407621822,-1.8194423861934503,3.4162287856596585,0.8821793030308646,9.376065342029166,1.0681806362964654,0
SYLATR,-1.0887862503987635,34.39134696775042,39.95695085944377,11.173987072593704,-4.487977922935604,0.1330267408277675,-2.9868273197613706,-2.9868273197612956,3.8304140654297427,-5.977898247974157,4.721307604973205,10.303961731905677,-11.00076458912076,-2.1071964878937686,-7.359102466840251,-37.75262550359829,-43.962117311858876,-9.505147679677409,-5.331669119560101,-0.5845706452378099,-3.9174305321893748,-3.9174305321896337,4.458175707626186,1.0171335791372778,7.018004924168464,5.806453190130976,-3.6043614299394484,1.2275723033878732,0
TURMER,7.058767833581837,19.831345744663516,11.551601328410559,6.098242714581183,-5.809356155717396,0.0635358984905364,-1.1509010235084147,-1.1509010235083468,1.05921731777054,1.7407313357861438,6.0694806867048285,5.732099975316758,-6.446901536828163,1.1414565494819866,-5.356492112310231,-24.585370389495196,-14.56059728044741,-4.589806060624326,-5.637385854606567,-2.205177248989054,-2.8677140972325237,-2.8677140972323967,-0.5045976123329341,-3.2041937350800955,1.7752039222680385,8.95584927399853,-14.39890361128347,-0.23620333088580966,0
ALAARV,-0.5783590227136733,11.918279157324783,-0.2642813754936722,8.341130592922074,0.9341490049163264,0.3488859677844459,5.775823837435498,5.775823837435953,-1.8820755142878027,-3.497065514589549,-4.7089885774293725,-5.711490014527348,0.12801415960788648,-0.8584250866219341,0.5616239742044583,-15.553987332672088,12.757440539930926,-11.600469599068827,0.6882478905412427,5.178639482429905,2.5321822193839396,2.5321822193838415,-1.8454240314797188,-2.151780965233236,-6.189624898986578,-6.169219037024707,2.9797467079866378,-2.1858179341889867,1
CORCOR,-2.529338173723304,42.73840663234301,-1.9772054714788643,15.019100300597676,-0.6494017230955089,-1.486007878325174,-0.4394155523989256,-0.4394155523998903,2.0535558841783463,0.9866166396568367,-2.4881735485573206,1.4953709604353678,-5.785767455934191,-0.9073158444656856,0.6628494452857292,-50.19538041433899,4.900567511831314,-14.072194179318464,-2.0851031820453967,5.340350357637079,-0.5705227238695412,-0.5705227238691294,3.1150940414351265,3.640338377446456,-5.407522477362467,0.7401408577952668,2.216976739916371,2.375824590344931,0
CUCCAN,0.1981039438045724,7.247719347070811,-0.8862646375958211,0.9685647434703544,1.1553086006454782,1.4202164919090388,-1.0047692740141678,-1.004769274014068,-0.4657840737414834,-0.6260139409239169,-0.4107436728817924,-0.06047925385625379,-1.2079672419390763,-0.6569643648144513,-1.2304434479160864,-5.080764876170321,-0.6111406437134196,-0.5842968028173556,-0.5798295281788647,0.2787692915773741,-2.024221029620777,-2.024221029620849,-0.7245895345801638,0.18308809921955177,-0.4641022514311695,0.25618309152104896,-4.602938524801426,-2.2022464070423573,1
DENMAJ,0.26791386369865655,7.619002203248258,8.072879137970997,2.6087193408957763,0.18982383541028874,0.10114368228343515,-0.5952184293246895,-0.5952184293245526,1.012590983826324,-2.1582755700057334,1.9326747585555863,1.4078345051526473,-2.1796927659706125,-0.5518655196410054,-0.883034309743707,-4.4233466704296385,-9.09513335914336,-3.0691980746528005,-1.3185933560327965,1.0398693057552033,-0.5835704111843114,-0.583570411184338,1.1774313261986473,0.1586778337617426,2.7495554643172264,0.4972967440803982,-1.205615566106536,-0.4945872196940568,1
ERIRUB,2.5001506650707346,-13.685551081960293,19.90597018899743,0.47251922343096814,-1.5424800868874928,0.881647935904546,-2.6266954848425907,-2.6266954848429886,-1.422814595353365,1.6104646886430967,0.22423773689984358,3.4617008680790633,-6.3492807506803475,0.3428291162516794,-5.116096393736452,17.652124680487013,-22.984169971928726,-2.586208104611276,-2.870191640114274,3.1596838772611484,-2.091146882929826,-2.091146882929629,-0.17725224430327893,1.3689198356881687,-1.0806371631891067,3.9080783529356244,-2.777420679722021,-1.126248332370479,1
FRICOE,0.36802638464229853,-6.338902295562785,16.43847350995907,1.292556586690748,-1.3038137252181237,3.996168886379889,-4.537508254814332,-4.537508254813866,1.4920310189469619,7.136801078229332,-4.871587108941018,2.0215373829464136,-6.269450673697773,-1.6065037523161338,-5.234054083509068,13.612430181615306,-19.23095956269836,0.25727683692086833,-2.1951777730898647,3.255946432195505,-5.872705293265933,-5.872705293265701,-0.070117435362463,2.403784021508781,-8.791446782211843,0.8131533531603022,-12.013952360660706,-2.7157501763836844,1
SITEUR,0.026368719809011492,2.157971672792947,5.492537799836983,0.8358305153065025,0.6966267074592267,-0.05787271235820351,-0.5918554676592293,-0.5918554676594951,-0.017474868108626095,-0.6082466089171913,-0.2581032933927033,0.973031729335211,-2.754457233780386,-0.10287447136976316,-0.03467688671827282,1.6165899700270545,-6.210552589842526,-0.7751428351283631,-0.5746936907429747,0.6648020068490412,-0.28486360285865053,-0.2848636028585667,-0.5057153422916552,0.6185192230594555,-0.6903785535467428,0.5935495127421917,-2.0359253586338326,-0.1508233571236098,1
TROTRO,-0.8348092102534921,11.244289368150488,3.9067059954857593,-0.9596572026299343,1.0010895661611048,1.3994413380978503,-1.6141040548057635,-1.6141040548056225,1.0720656431750284,0.32918592977147987,1.5900570539878454,0.27013553033011434,-3.9209627676121563,1.0485806571388763,-1.491232021728497,-8.042691858720602,-5.039242658887689,-0.24029631488421233,0.9616351298476672,0.8039072350572879,-1.8177660302868355,-1.8177660302867944,1.1272344892466053,-3.257495735480335,-3.3048887695557463,1.981407980601774,-3.542205547694611,0.3903895424248603,1
TURPHI,-0.8123105685397287,-14.161225359561307,16.74288735790741,3.7177309633378304,-0.19551446831950928,-0.43497952689016645,-2.072927426433617,-2.072927426434025,-1.4025061483458274,-2.1523797959942663,-1.4031531737869103,-0.7039683018208397,-1.3629566043417416,-0.20692180824905002,-1.7812334329576893,17.2500995161328,-18.432248488747998,-6.049529427684735,-0.7006620114917796,-0.05704375557433817,-1.351958301163782,-1.3519583011641259,-1.30586805509387,1.0555997638431702,-2.428987391068865,2.533424956768185,-4.647202145983826,-1.450118953503814,1
TURVIS,-0.06838577397322855,-7.051387482264584,3.169376300214888,3.10308698610448,-0.27634201814002224,-0.11653438907800956,-0.7373748284746532,-0.7373748284745546,-0.6587553769810736,0.4883599987329523,1.0732307098612897,1.2900396165757309,-2.367825350274201,-0.8139944721587684,-0.8535614767835249,7.842700752886855,-4.925537390040322,-2.1320870424255802,-1.3751484713357323,-0.9403831605838653,-0.8929805807302977,-0.8929805807303649,-0.40692528181062465,-1.1201603895222016,1.9902787935704709,1.1850160128172083,-2.9308833552296627,-0.2160179770734269,1
ANTTRI,0.26142848693856297,-1.82931521710481,0.3037312401084599,-0.6286074464509619,0.7684360902635353,-0.3594115566167477,-0.4220537117882043,-0.42205371178827467,-0.8399046265161032,0.6992955202754143,-1.7229167941079209,-0.8198218068627774,0.3567698614134467,-0.936333428732335,-0.08290292156688801,2.828457322570325,-0.30022871461665884,1.4467663643635846,0.6307494964141865,-0.5021628769059736,-0.21540513707503692,-0.21540513707522146,-0.6888550760824171,1.7036138181084708,-1.3294437779213744,-0.4560223037471903,-2.504391463891416,-1.435672251355788,1
EMBCIT,-2.8104268012695837,7.288831609264653,-1.0998222459593836,0.9366348330647594,-1.5639020950212796,-1.8985444156167053,0.2321130473642884,0.23211304736431385,0.6448955252202205,-0.09829933246534166,-0.4693753459959819,0.5254959530635774,-1.0981939889504517,0.07808407519689596,0.21410494982053016,-9.2734116161383,0.4822750691516681,0.3195679607205178,0.20136022923153443,-2.316315289614599,-0.05064021301760594,-0.05064021301756905,0.1237095502896914,-1.9886141408673423,-1.1073209470360252,-0.04932318948071117,-1.936333139336403,-0.9916288589870774,1
PRUMOD,0.8509979987569878,-1.6744967760495675,-4.101128675873829,-1.903251737910894,0.5981428938213967,-0.2546747117218088,-0.37494424620058603,-0.37494424620058503,-0.47406058758099073,0.3369716414445086,-0.8845093718214025,0.1909379666246664,-2.197529591036469,1.2602195830211114,0.7544037925748798,0.34558124379270494,4.302888022645684,1.599546198660192,1.465325449372614,1.205262909879767,-0.2503431602234617,-0.25034316022365116,-0.7720378536574833,-0.9449036549961033,-1.9852038155618663,0.1817412554988026,-0.15665887390817668,-0.24000833744323885,1
PARCRI,0.09172649330207858,-6.080919600488488,1.0022039093489377,-0.18005878472637316,-0.23680553938414362,-0.521640821459616,-0.6275405785889228,-0.6275405785888484,0.0977615052899969,0.9497144501803682,-1.0046744328905617,0.040527842954450916,-0.2553044383132456,0.13868618355469528,-0.21997832008760373,6.599133923276142,-1.9133927553054237,0.09937943704345925,-0.4561720330620092,-0.42553109081317975,-0.31500662970456894,-0.3150066297046164,-0.39927494164914135,1.2494449714016254,-0.13018058317246775,-0.6562026073830121,0.1881735593817468,-0.40663558635868624,1
DRYMAR,-0.07311444380707081,-3.632327128023627,1.6215641938443772,0.4099456395743348,-0.15561348736076186,-0.07883825911426899,-0.1987065786526271,-0.19870657865267863,-0.2644689586577354,-0.31010809468259276,0.008359044002057088,-0.7587949418589447,0.5178390387644191,0.03946448461793769,-0.04792566014668877,4.029696012517643,-2.020501324838024,-0.4114589283107145,-0.11720844969966422,0.43175084825838866,-0.25493949495847307,-0.2549394949584217,-0.051073017752835674,0.45080404568654725,-0.16594402646123357,-0.45737255558229617,0.5791450562081986,-0.2881819033500967,1
